Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
105,FamilyMart Jonker Street,"No 127, Jalan Hang Jebat, 75200 Melaka.","No. 127, Jalan Hang Jebat, 75200 Melaka, Malaysia",2.19768,102.2454038,"2.19768, 102.2454038"
106,FamilyMart Mutiara Mas,"No.2 (GF), Jalan Mutiara 1/1, Taman Mutiara Mas, 81300 Skudai Johor. ","2, Jln Mutiara 1/1, Taman Mutiara Mas, 81300 Skudai, Johor, Malaysia",1.5145793,103.6318646,"1.5145793, 103.6318646"
107,FamilyMart Caltex Taman Daya,"Lot PTD 110500, Jalan Nipah 2, Taman Daya, 81100 Johor Bahru, Johor. ","Taman Daya, 81100 Johor Bahru, Johor, Malaysia",1.5440838,103.7624537,"1.5440838, 103.7624537"
108,FamilyMart Caltex Mukim Tebrau,"Lot PTD 88365, Lebuhraya Pasir Gudang, Mukim Tebrau, 81100 Johor Bahru, Johor.","Kampung Kangkar Tebrau, 81100 Johor Bahru, Johor, Malaysia",1.5297573,103.7572752,"1.5297573, 103.7572752"
109,FamilyMart Taman Molek,"No. 45, Ground Floor, Jalan Molek 3/10, Taman Molek, 81100 Johor Bahru, Johor. ","No 45, Ground Floor, Jalan Molek 3/10, Taman Molek, 81100 Johor Bahru, Johor, Malaysia",1.5225334,103.7853192,"1.5225334, 103.7853192"
110,FamilyMart KSL City,"No LG-039, Lower Ground Floor, KSL CITY, 33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor.","No LG-039, Lower Ground Floor, KSL CITY, 33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor, Malaysia",1.4859251,103.7619976,"1.4859251, 103.7619976"
111,FamilyMart MesaMall,"G-03A, Ground Floor, Mesamall, Persiaran Ilmu BBN, Bandar Baru Nilai, 71800 Nilai,
Negeri Sembilan.","G-03a, Ground Floor, MesaMall, Persiaran Ilmu, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan, Malaysia",2.825131,101.777424,"2.825131, 101.777424"
112,FamilyMart Bukit Dahlia,"No. 5, Jalan Sejambak 14, Taman Bukit Dahlia, 81700, Johor.","No. 5, Jalan Sejambak 14, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor, Malaysia",1.4780715,103.896195,"1.4780715, 103.896195"
113,FamilyMart Indahpura,"No. 189A, Jalan Kenanga 29/4, Indahpura, 81000 Kulai, Johor","189A, Jalan Kenanga 29/4, Bandar Indahpura, 81000 Kulai, Johor, Malaysia",1.6417615,103.6189539,"1.6417615, 103.6189539"
114,FamilyMart LRT Ampang Park,"K3- Concourse Level, LRT Ampang Park Station, Kuala Lumpur. ","K3- Concourse Level, LRT Ampang Park Station, Wilayah Persekutuan, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1599311,101.71906,"3.1599311, 101.71906"
115,FamilyMart LRT Masjid Jamek,"K4- Concourse Level, LRT Masjid Jamek Station, Kuala Lumpur. ","K4, Concourse Level, LRT Masjid Jamek Station, City Centre, 50100 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1498447,101.696542,"3.1498447, 101.696542"
116,FamilyMart Sky Avenue,"Lot No. T1-03 of Level G, SkyAvenue, Genting Highlands Resort, 69000 Genting Highlands, Pahang.","Lot T1 - 03, Genting Highlands, 69000 Genting Highlands, Pahang, Malaysia",3.4240571,101.7958284,"3.4240571, 101.7958284"
117,FamilyMart TTDI,"No. 27, Ground Floor, Jalan Tun Mohd Fuad 3, Taman Tun Dr Ismail, 60000 Kuala Lumpur.","No. 27, Ground Floor, Jalan Tun Mohd Fuad 3, Taman Tun Dr Ismail, 60000 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1415019,101.627861,"3.1415019, 101.627861"
118,FamilyMart Rasah Prima,"No.12-G, Jalan Rasah Prima 1, Pusat Komersial Rasah Prima, 70300 Seremban. Negeri Sembilan.","12-G, Jalan Rasah Prima 1, Pusat Komersial Rasah Prima, 70300 Seremban, Negeri Sembilan, Malaysia",2.6894581,101.9345352,"2.6894581, 101.9345352"
119,FamilyMart Seremban Gateway,"No.10A-G, Gerbang Seremban, Off Jalan Sungai Ujong, 70200 Seremban, Negeri Sembilan. ","Lot No 10 (A), Ground Floor, Gateway Off, Lebuhraya Seremban - Bukit Nenas, 70200 Seremban, Negeri Sembilan, Malaysia",2.7170311,101.9195581,"2.7170311, 101.9195581"
120,FamilyMart Taman University,"No. 1, Jalan Pendidikan 8, Taman Universiti, 81300 Skudai, Johor. ","No. 1, Jln Pendidikan 8, Taman Universiti, 81300 Skudai, Johor, Malaysia",1.5437598,103.6302155,"1.5437598, 103.6302155"
121,FamilyMart Taman Mount Austin,"5-1A-1, Jalan Austin Heights 3, Taman Mount Austin, 81100 Johor Bahru, Johor.","5-1A, Jalan Austin Heights 3/1, Taman Mount Austin, 81100 Johor Bahru, Johor, Malaysia",1.5587894,103.7811497,"1.5587894, 103.7811497"
122,FamilyMart Taman Danau Desa,"No. 1, Jalan 2/109F, Plaza Danau 2, Taman Danau Desa, 58100 Kuala Lumpur.","No. 1, Jalan 2/109f, Taman Danau Desa, 58100 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0989117,101.6865395,"3.0989117, 101.6865395"
123,FamilyMart NU Empire Subang,"LG-11, Lower Ground Level,  Empire Shopping Gallery, Jalan SS 16/1, 47500 Subang Jaya, Selangor.","LG-11, Lower Ground Level, Empire Shopping Gallery, Jalan SS 16/1, Ss 16, 47500 Subang Jaya, Selangor, Malaysia",3.0819527,101.5826485,"3.0819527, 101.5826485"
124,FamilyMart Ampang Jaya,"No.1A-00-06, Pangsapuri Melati Merdeka Villa, Jalan Merdeka Villa, 68000 Ampang, Selangor.","No.1A-00-06, Pangsapuri Melati Merdeka Villa, Villa, Jalan Merdeka, Kampung Baru Ampang, 68000 Ampang, Selangor, Malaysia",3.1385441,101.7643673,"3.1385441, 101.7643673"
125,FamilyMart Gelang Patah,"No. 27-01, Jalan Nusaria 11/1, Taman Nusantara,81550  Gelang Patah, Johor. ","No. 27, Jalan Nusaria 11/1, Taman Nusantara, 81550 Gelang Patah, Johor, Malaysia",1.4610675,103.5841078,"1.4610675, 103.5841078"
126,FamilyMart Caltex Kuala Selangor,"Lot 139 Batu 2, Jalan Kuala Selangor, Klang, 45000 Kuala Selangor, Selangor.","Lot 139 Batu 2, Jalan Kuala Selangor, Klang, Kampung Baharu, 45000 Kuala Selangor, Selangor, Malaysia",3.3149175,101.2769927,"3.3149175, 101.2769927"
127,FamilyMart Ayer Keroh,"No. 3,Ground Floor, Jalan Komersial TAKH 2, Taman Ayer Keroh Heights, 75450 Ayer Keroh, Melaka.","No. 3, Jalan Komersial TAKH 2, Taman Ayer Keroh Heights, Taman Muzaffar Shah, 75450 Ayer Keroh, Melaka, Malaysia",2.2531351,102.2911511,"2.2531351, 102.2911511"
128,FamilyMart Centrepoint Seremban,"G-14, Ground Floor, Centerpoint Seremban, 33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan.","G-14, Ground Floor, Centerpoint Seremban, 33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan, Malaysia",2.723466,101.9552558,"2.723466, 101.9552558"
129,FamilyMart Caltex Bestari Jaya,"PT 7490, Section 2, Kubang Badak, Pekan Bestari Jaya, 45000 Selangor.","PT 7490, Section 2, Kubang Badak, Jalan Berjuntai, 45000 Batang Berjuntai, Selangor, Malaysia",3.3805128,101.4130686,"3.3805128, 101.4130686"
130,FamilyMart Gravity Green,"GL02-01, No. 6G, Jalan Suria, Gravity Green Seri Alam, Bandar Seri Alam, 81750, Masai, Johor. ","Gravity Green, Bandar Seri Alam, Masai Gravity Green @ Bandar Seri Alam, Jln Suria, Bandar Baru Seri Alam, 81750 Masai, Johor, Malaysia",1.4962035,103.8728633,"1.4962035, 103.8728633"
131,FamilyMart Porto Historia,"No. 8 & 10, Jalan KLJ 8, Taman Kota Laksamana Jaya, 75200 Melaka.","10, Jln KLJ 8, Taman Kota Laksamana, 75200 Malacca, Malaysia",2.1992468,102.2304307,"2.1992468, 102.2304307"
132,FamilyMart Banting,"No. 1(G), Jalan Cemerlang 4, 42700 Banting, Selangor.","1 (G, Jalan Cemerlang 4, Banting, 42700 Banting, Selangor, Malaysia",2.8132908,101.5078127,"2.8132908, 101.5078127"
133,FamilyMart Setia City Mall,"#LG-020A, Setia City Mall, No. 7, Persiaran Setia Dagang Bandar Setia Alam Seksyen U13, 40170 Shah Alam Selangor.","LG-20A, Setia City Mall, No. 7, Persiaran Setia Dagang Bandar Setia Alam, Seksyen, U13 Shah Alam, 40170 Shah Alam, Selangor, Malaysia",3.108951,101.4613414,"3.108951, 101.4613414"
134,FamilyMart Bandar Sri Damansara,"No. 11G, Jalan Tanjung, SD 13/1, Bandar Sri Damansara, 52200 Kuala Lumpur.","11, Ground Floor, Jalan Tanjung SD 13/1, Bandar Sri Damansara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.188535,101.6053308,"3.188535, 101.6053308"
135,FamilyMart Setia Tropika,"3, Jalan Setia Tropica 1/15, Taman Setia Tropika, 81200 Johor Bahru, Johor.","3, Jalan Setia Tropika 1/15, Taman Setia Tropika, 81200 Johor Bahru, Johor, Malaysia",1.5454216,103.7116491,"1.5454216, 103.7116491"
136,FamilyMart Sentosa Klang,"No. 6, Jalan Dato Yusuf Shahbuddin 30, Taman Sentosa, 41200 Klang, Selangor.","No. 6, Jalan Dato Yusuf Shabuddin 30, Taman Sentosa, 41200 Klang, Selangor, Malaysia",3.0104808,101.4660532,"3.0104808, 101.4660532"
137,FamilyMart Pantai KL Hospital,"Retail Lot 10, Ground Floor, Block A, Pantai Hospital Kuala Lumpur, 8, Jalan Bukit Pantai, 59100, Kuala Lumpur.","Retail Lot 10, Ground floor, Block A Pantai Hospital Kuala Lumpur, 8, Jalan Bukit Pantai, Bangsar, 59100 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1198114,101.6672461,"3.1198114, 101.6672461"
138,FamilyMart Caltex Taman Puteri Wangsa,"Lot B, No.2, Jalan Beladau 31, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor. ","Lot B, 2, Jalan Beladau 3, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor, Malaysia",1.5907204,103.8018501,"1.5907204, 103.8018501"
139,FamilyMart Waterfront @ Desa Park City,"GF-21H, Ground Floor, The Waterfront@ParkCity, No.5, Persiaran Residen, Desa ParkCity, 52200 Kuala Lumpur. ","GF-21H, Ground Floor, The Waterfront@ParkCity, No.5, Persiaran Residen, Desa Parkcity, 52200 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.186829,101.6271989,"3.186829, 101.6271989"
140,FamilyMart Caltex Hutan Melintang,"Lot 6853 Simpang Empat, 36400 Hutan Melintang, Perak","Lot 6853 Simpang Empat, 36400 Hutan Melintang, Perak, Malaysia",3.8970427,100.9383374,"3.8970427, 100.9383374"
141,FamilyMart Bangi Seksyen 9,"No.23, Ground Floor, Jalan Medan Pusat 2D, Seksyen 9, 43650 Bandar Baru Bangi, Selangor.","No.23, Ground Floor, Jln Medan Pusat 2d, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia",2.9634531,101.7527776,"2.9634531, 101.7527776"
142,FamilyMart KLSMC,"G-01A, Ground Floor, Wisma Perintis, 47, Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur.","G-01A, Ground Floor, Wisma Perintis, 47, Jalan Dungun, Bukit Damansara, 50490 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.152389,101.6654281,"3.152389, 101.6654281"
143,FamilyMart Melaka Raya,"258 , Jalan Melaka Raya 3, Taman Melaka Raya, 75000 Melaka.","258, Jalan Melaka Raya 3, Taman Melaka Raya, 75000 Melaka, Malaysia",2.1880721,102.2533668,"2.1880721, 102.2533668"
144,FamilyMart Desa Cemerlang,"No.97, 97A & 97B, Jalan Tanjong 1, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor.","No 99, Jln Tanjong 1, Tmn, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor, Malaysia",1.5593707,103.8097427,"1.5593707, 103.8097427"
145,FamilyMart Plaza Sentral,"Unit 3A-G Ground Floor, Block 3A, Plaza Sentral, Jalan Stesen Sentral 5, KL Sentral, 50470-Kuala Lumpur.","Unit 3A-G Ground Floor, Block 3A, Plaza Sentral, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1322726,101.6844457,"3.1322726, 101.6844457"
147,FamilyMart Sunway Velocity,"L1,Sunway Medical Centre Velocity, Lingkaran SV, Sunway Velocity, 55100 Kuala Lumpur. ","Lot No. 1-22, Sunway Velocity Mall, Lingkaran SV2, Sunway Velocity, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1280934,101.7241894,"3.1280934, 101.7241894"
148,FamilyMart Gleneagles KL,"Lot 3 & 3A of Ground Floor, Block B,Gleneagles Kuala Lumpur, 282 & 286, Jalan Ampang, 50450 Kuala Lumpur.","Lot 3 & 3A of Ground Floor, Block B Gleneagles, 282 & 286, Jalan Ampang, Kampung Berembang, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1612715,101.7402031,"3.1612715, 101.7402031"
149,FamilyMart Caltex Bandar Puteri Klang,"No. M, Lot 133826, Lebuh Sanggul 1/KS7, Bandar Puteri, 41200 Klang, Selangor, Malaysia.","Bandar Puteri, 41200 Port Klang, Selangor, Malaysia",2.988931,101.4655421,"2.988931, 101.4655421"
150,FamilyMart Permas,"No.14, Jalan Permas 10/7, Bandar Permas Jaya 81750 Masai, Johor.","14, Jalan Permas 10/7, Bandar Baru Permas Jaya, 81750 Masai, Johor, Malaysia",1.4962333,103.8146798,"1.4962333, 103.8146798"
151,FamilyMart Eco Botanic,"No 74, Jalan Eko Botanic 3/2, Taman Eko Botani, 79100 Iskandar Puteri, Johor.","No 74, Jalan EkoBotanic 3/2, Taman Eko Botani, 79100 Iskandar Puteri, Johor, Malaysia",1.4392556,103.62022,"1.4392556, 103.62022"
152,FamilyMart Rawang,"No. A1-G, Jalan Rawang, Pusat Perniagaan R.E.E.F 2, 48000 Rawang, Selangor.","No. A1-G, Jalan Rawang, Pusat Perniagaan R.E.E.F 2, 48000 Rawang, Selangor, Malaysia",3.3073157,101.5863279,"3.3073157, 101.5863279"
153,FamilyMart Nadi Putrajaya,"No. 58, Jalan Diplomatik, Presint 15, 62000 Putrajaya.","58, Jln Diplomatik, Presint 15, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9453672,101.7237279,"2.9453672, 101.7237279"
154,"FamilyMart Menara Ikhlas, Putrajaya","Ground Floor, Retail F&B 3, Menara Ikhlas, No. 17, Persiaran Perdana, Presint 3, 62100 Putrajaya.  ","Ground Floor, Retail F&B 3, Menara Ikhlas, 17, Persiaran Perdana, Presint 3, 62100 Wilayah Persekutuan, Wilayah Persekutuan Putrajaya, Malaysia",2.9185102,101.68618,"2.9185102, 101.68618"
155,FamilyMart Menara UOA Bangsar,"Unit 1-3A, Level 1,Menara UOA Bangsar,No. 5, Jalan Bangsar Utama 1, 59000 Kuala Lumpur.","Unit 1, 3A, 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1279299,101.6787444,"3.1279299, 101.6787444"
156,FamilyMart Caltex Jalan Skudai,"GM 679, Lot 1283, Mukim Of Pulai, Tempat Batu 8, Jalan Skudai, 81300 Johor Bahru, Johor.","PTD 107072, Jalan Seri Impian 1, Taman Impian Emas, 81300 Skudai, Johor, Malaysia",1.545594,103.6830348,"1.545594, 103.6830348"
157,FamilyMart Caltex Lebuh Spa,"Part of Lot 11723, Mukim Tanjung Minyak, Daerah Melaka Tengah, 76450 Melaka. 
Coordinates: 
2?17'06.0""N 102?12'17.6""E","Lot 11723, Jalan Pe 1, Taman Paya Emas, 76450 Melaka, Malaysia",2.2855381,102.2043609,"2.2855381, 102.2043609"
158,FamilyMart Mahkota Parade,"Lot G11, Ground Floor, Mahkota Parade, No.1, Jalan Merdeka, 75000 Melaka. ","Lot G11, Ground Floor, Mahkota Parade, No.1, Jln Merdeka, Taman Costa Mahkota, 75000 Melaka, Malaysia",2.1880207,102.2505949,"2.1880207, 102.2505949"
159,FamilyMart Petron Setia Impian,"No 2, Persiaran Setia Impian, Bandar Setia Alam, Section U13, 40170 Shah Alam, Selangor.","Section U13, 2, Persiaran Setia Impian, Bandar Setia Alam, 40170 Shah Alam, Selangor, Malaysia",3.1016046,101.4440589,"3.1016046, 101.4440589"
160,FamilyMart Ecohill Taipan,"No.28,-1 (Ground Floor), Jalan Ecohill 1/5A, Seta Ecohill, 43500 Semenyih, Selangor.","No.28,-1 (Ground Floor, 5A, Jln Ecohill 1, Setia Ecohill, 43500 Semenyih, Selangor, Malaysia",2.9262119,101.8549614,"2.9262119, 101.8549614"
161,FamilyMart Alamanda Shopping Centre,"Lot G03-G04, Alamanda Shopping Centre, Jalan Alamanda, Precinct 1, 62000 Putrajaya. ","Lot G03-G04, Alamanda Shopping Centre, Jalan Alamanda, Precinct 1, 62000 Wilayah Persekutuan, Wilayah Persekutuan Putrajaya, Malaysia",2.9409324,101.7114128,"2.9409324, 101.7114128"
162,FamilyMart Lagenda Melaka,"35, Ground Floor, Jalan Lagenda 1, Taman 1 Lagenda, 75400 Melaka.","35, Jalan Lagenda 1, Taman Lagenda Mas, 75400 Melaka, Malaysia",2.2144631,102.2446863,"2.2144631, 102.2446863"
163,FamilyMart Senai Centrepoint,"No 32G, Jalan Terminal 5, 81400 Senai, Johor.","No 32G, Jalan Terminal 5, 81400 Senai, Johor, Malaysia",1.6356269,103.663242,"1.6356269, 103.663242"
164,FamilyMart Sunway Medical Centre (G),"LG Floor, Tower C, No.5, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor Darul Ehsan","Lot C-G-R01, Sunway Medical Center, Tower C, 5, Jalan Lagoon Selatan, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia",3.06611,101.6085539,"3.06611, 101.6085539"
165,FamilyMart Olive Hill Business Park,"50-LG, Jalan BS 1/1, Pusat Perdagangan Olive Hill, Taman Bukit Serdang, Seksyen 1, 43300 Seri Kembangan, Selangor.","50-LG, Jalan BS 1/1, Pusat Perdagangan Olive Hill, Seksyen 1, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor, Malaysia",3.0131499,101.6972761,"3.0131499, 101.6972761"
167,"FamilyMart Prima Avenue, Cyberjaya","Section D, Block 3513, Prima 4, Jalan Teknokrat 5, 63000 Cyberjaya.","Prima 4, Jalan Teknokrat 5, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.9213228,101.6565506,"2.9213228, 101.6565506"
168,FamilyMart Suria KLCC,"Lot C02-C03, Concourse Level, Suria KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur.","Lot C02-C03, Concourse Level, Petronas Twin Tower, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1582224,101.7120367,"3.1582224, 101.7120367"
169,FamilyMart Taman Adda,"No 89,Ground Floor, Jalan Adda 3/1, Taman Adda, 81100 Johor Bahru, Johor.","Taman Adda, 89, Jln Adda 3/1, Adda Heights, 81100 Johor Bahru, Johor, Malaysia",1.5475433,103.7465799,"1.5475433, 103.7465799"
170,FamilyMart Taman Gaya,"No.102, Jalan Gaya 1, Taman Gaya, 81800 Ulu Tiram, Johor.","102, Jalan Gaya 1, Taman Gaya, 81800 Ulu Tiram, Johor, Malaysia",1.5626553,103.8003327,"1.5626553, 103.8003327"
171,FamilyMart Kebun Teh,"No. 20(GF), Jalan Kebun Teh 1, Pusat Perdagangan Kebun Teh, 80250 Johor Bahru, Johor.","No. 20(GF, Jalan Kebun Teh 1, Pusat Perdagangan Kebun Teh, 80250 Johor Bahru, Johor, Malaysia",1.4859808,103.7542023,"1.4859808, 103.7542023"
172,FamilyMart Denai Alam,"No.15-1 Jalan Elektron J U16/J ,Seksyen U16, Denai Alam, 40160 Shah Alam.","No.15, Seksyen U16, 1, Jln Elektron U16/J, Denai Alam, 40160 Shah Alam, Selangor, Malaysia",3.1607697,101.5126442,"3.1607697, 101.5126442"
173,FamilyMart Taman Ungku Tun Aminah,"No.2, Jalan Pendekar 13, Taman Ungku Tun Aminah 81300 Skudai, Johor.","2, Jalan Pendekar 13, Taman Ungku Tun Aminah, 81300 Skudai, Johor, Malaysia",1.5138963,103.6537589,"1.5138963, 103.6537589"
174,FamilyMart Caltex Jalan Besar (Seri Kembangan),"Lot 49358, Jalan Besar, 43300 Seri Kembangan, Selangor.","Lot 49358, Jalan Besar, Taman Muhibbah, 43300 Seri Kembangan, Selangor, Malaysia",3.026768,101.7103712,"3.026768, 101.7103712"
175,FamilyMart Desa Pandan,"No. 4, Jalan 1/76D, Desa Pandan, 55100 Kuala Lumpur.","No. 4, Jalan 1/76d, Desa Pandan, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.146979,101.736892,"3.146979, 101.736892"
176,FamilyMart Damansara Heights,"No. 28-G, Jalan Medan Setia 2, Plaza Damansara, Bukit Damansara, 50490 Kuala Lumpur. ","28-G, Jalan Medan Setia 2, Bukit Damansara, 50490 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1490849,101.6532738,"3.1490849, 101.6532738"
